횡단보도ID,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
9494,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,15.0,15.6,0.0,0.0,15.0,40.333333333333336,-0.7139176665210375,30.333333333333332,10.0,0.0,10.333333333333334,17.180480494565327,92.5,0.0022747774598632967,0.6666666666666666
9494,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,25.333333333333332,17.82847222222222,0.0,0.0,25.333333333333332,12.666666666666666,-6.207975345654558,9.333333333333334,3.3333333333333335,0.0,3.6666666666666665,26.963832766064474,98.5,0.007334549411162315,0.6666666666666666
71666,장충동,장충동1가,baseline,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,254.0,6.388033825420396,29.666666666666668,42.333333333333336,182.0,105.66666666666667,-28.69113905878443,105.66666666666667,0.0,0.0,19.0,54.606578679364816,100.0,2.8956944444444446,13.0
71666,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,281.0,7.604345241491958,41.0,32.666666666666664,207.33333333333334,97.66666666666667,-46.38383434453156,97.66666666666667,0.0,0.0,15.333333333333334,57.661039432972075,100.0,2.926329365079365,13.0
8430,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,116.66666666666667,10.224984271771241,42.333333333333336,20.333333333333332,54.0,155.0,-11.893271034582101,139.0,16.0,0.0,30.333333333333332,8.517187695998715,98.16666666666667,0.7878888888888889,6.0
8430,신당동,신당동,smart,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,85.33333333333333,11.863546176046176,22.0,13.0,50.333333333333336,107.66666666666667,-8.889279189642478,97.33333333333333,10.333333333333334,0.0,24.0,8.555594360005088,97.33333333333333,0.8141388888888889,6.0
