횡단보도ID,행정동,읍면동명,시나리오,PET_A_proxy_고위험,PET_B_surrogate_고위험,고령자미완료횡단,차량평균지체_초,차량최대지체_초,평균대기행렬_대,최대대기행렬_대,PET_A_proxy_평균,PET_B_surrogate_평균,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_moderate,PET_B_surrogate_safe
23040,중림동,봉래동2가,baseline,0.0,0.0,0.0,80.02240434731107,100.0,0.8588888888888888,3.0,,,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0.0,0.0,0.0,0.0,0.0,0.0
23040,중림동,봉래동2가,smart,0.0,0.0,0.0,80.02240434731107,100.0,0.8588888888888888,3.0,,,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0.0,0.0,0.0,0.0,0.0,0.0
9494,신당동,신당동,baseline,0.0,31.5,11.0,19.93884207240949,97.5,0.0065123456790123,1.0,15.806122448979592,-1.0038371195152436,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,49.0,0.0,49.0,43.5,12.0,0.0
9494,신당동,신당동,smart,0.0,10.0,3.5,21.593904327876192,95.5,0.0012647909758793,1.0,19.871287128712872,0.6501565733019176,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,50.5,0.0,50.5,18.5,8.5,0.0
6122,회현동,남창동,baseline,0.0,0.0,0.0,6.592548294792449,77.0,0.0134486334415218,2.0,,,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6122,회현동,남창동,smart,0.0,0.0,0.0,6.592548294792449,77.0,0.0134486334415218,2.0,,,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6213,회현동,남창동,baseline,0.0,0.0,0.0,82.39593276662242,100.0,0.0021296296296296,1.0,,,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6213,회현동,남창동,smart,0.0,0.0,0.0,82.39593276662242,100.0,0.0021296296296296,1.0,,,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638744,0.0,0.0,0.0,0.0,0.0,0.0
