횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율,nan_flag,crossing_length_m,ped_green_base,ped_green_elderly,risk_score
23040,126.97333207568764,37.55442692511792,봉래동2가,2.0,,50.0,8.0,26875.559786532827,중림동,0.1901991313611407,True,7.0,14.0,15.75,6.701991313611407
9494,127.02194057271991,37.56537909712678,신당동,2.0,,50.0,7.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,6.298197792295562
6122,126.97831673160552,37.55882879568618,남창동,3.0,104.0,50.0,3.0,26875.559786532827,회현동,0.2946596858638743,False,10.5,17.5,20.125,5.546596858638744
6213,126.97675373178105,37.55607653713164,남창동,1.0,104.0,50.0,4.0,26875.559786532827,회현동,0.2946596858638743,False,3.5,10.5,11.375,5.446596858638744
