횡단보도ID,행정동,읍면동명,시나리오,PET_A_proxy_고위험,PET_B_surrogate_고위험,고령자미완료횡단,차량평균지체_초,차량최대지체_초,평균대기행렬_대,최대대기행렬_대,PET_A_proxy_평균,PET_B_surrogate_평균,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_moderate,PET_B_surrogate_safe
23040,중림동,봉래동2가,baseline,0.0,0.0,0.0,13.753192683116074,78.3,0.0498241986861562,2.3333333333333335,,,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611406,0.0,0.0,0.0,0.0,0.0,0.0
23040,중림동,봉래동2가,smart,0.0,0.0,0.0,13.753192683116074,78.3,0.0498241986861562,2.3333333333333335,,,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611406,0.0,0.0,0.0,0.0,0.0,0.0
9494,신당동,신당동,baseline,0.0,3.3333333333333335,0.6666666666666666,6.506276537977694,70.76666666666667,8.476526889210761e-05,0.6666666666666666,6.619444444444412,0.1507621432290828,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,6.666666666666667,0.0,6.666666666666667,4.333333333333333,1.0,0.0
9494,신당동,신당동,smart,0.0,5.333333333333333,1.3333333333333333,6.389231896985372,72.63333333333334,0.0015112430798191,0.6666666666666666,10.019444444444478,-0.7276644804967854,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,3.6666666666666665,0.0,3.6666666666666665,6.666666666666667,1.3333333333333333,0.0
6122,회현동,남창동,baseline,0.0,0.0,0.0,0.9878108383382256,34.96666666666667,0.0012130125578089,1.0,,,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6122,회현동,남창동,smart,0.0,0.0,0.0,0.9878108383382256,34.96666666666667,0.0012130125578089,1.0,,,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6213,회현동,남창동,baseline,0.0,0.0,0.0,66.95566518891873,100.0,0.0001111111111111,1.0,,,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.4465968586387445,0.0,0.0,0.0,0.0,0.0,0.0
6213,회현동,남창동,smart,0.0,0.0,0.0,66.95566518891873,100.0,0.0001111111111111,1.0,,,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.4465968586387445,0.0,0.0,0.0,0.0,0.0,0.0
71666,장충동,장충동1가,baseline,38.333333333333336,3.3333333333333335,1.3333333333333333,43.40277275183458,100.0,1.9782407407407403,8.666666666666666,3.610349369611246,-3.320959378601658,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,149.66666666666666,41.333333333333336,70.0,3.3333333333333335,0.0,0.0
71666,장충동,장충동1가,smart,12.666666666666666,3.0,0.3333333333333333,43.31263650667075,100.0,1.9911666666666663,8.666666666666666,5.324467303642062,-4.716127322289856,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,152.0,25.333333333333332,114.0,3.0,0.0,0.0
