횡단보도ID,seed,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
71666,43,장충동,장충동1가,baseline,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,199,3.6814070351758765,44,58,97,4,-2.7089561202281907,4,0,0,1,48.795695364238405,100.0,2.4352142857142858,12
71666,44,장충동,장충동1가,baseline,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,72,2.856944444444422,28,20,24,0,,0,0,0,0,40.89276729559748,100.0,1.7611190476190477,7
71666,42,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,180,5.87277777777776,15,30,135,4,-6.988331560255283,4,0,0,1,39.881588447653435,100.0,1.8076587301587301,7
71666,43,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,206,6.007766990291303,8,29,169,5,-2.4439230843244295,5,0,0,0,52.219528619528624,100.0,2.463857142857143,12
71666,44,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,70,4.092857142857123,15,17,38,0,,0,0,0,0,37.83679245283019,100.0,1.701984126984127,7
125895,42,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295562,158,8.67405063291139,29,34,95,0,,0,0,0,0,0.6830379746835443,26.4,0.00027152912672055474,1
125895,43,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295562,110,10.935454545454554,13,19,78,0,,0,0,0,0,0.5050808314087759,20.0,0.002081493629367983,1
125895,44,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295562,50,10.069999999999972,11,8,31,0,,0,0,0,0,0.5986577181208054,14.5,0.0001697864934844433,1
125895,42,신당동,신당동,smart,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295562,158,8.67405063291139,29,34,95,0,,0,0,0,0,0.6830379746835443,26.4,0.00027152912672055474,1
125895,43,신당동,신당동,smart,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295562,110,10.935454545454554,13,19,78,0,,0,0,0,0,0.5050808314087759,20.0,0.002081493629367983,1
125895,44,신당동,신당동,smart,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295562,50,10.069999999999972,11,8,31,0,,0,0,0,0,0.5986577181208054,14.5,0.0001697864934844433,1
8430,42,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,10,2.790000000000032,6,2,2,18,1.0464725153917405,7,11,0,8,7.229573934837092,97.0,0.5070222222222223,6
8430,43,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,57,18.663157894736816,13,0,44,19,0.7213523426881716,8,11,0,7,3.8324200913242006,97.0,0.3258162876381654,5
8430,44,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,5,11.939999999999987,0,0,5,3,-1.11653930665277,2,1,0,0,4.174222222222222,90.9,0.3889643992767629,3
8430,42,신당동,신당동,smart,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,12,2.9333333333333607,8,2,2,7,-0.7410415633814106,6,1,0,2,7.437844611528824,96.9,0.5536022220936289,6
8430,43,신당동,신당동,smart,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,49,20.142857142857117,6,4,39,8,0.8912136016842329,3,5,0,1,4.231735159817352,96.9,0.3656851148602378,5
8430,44,신당동,신당동,smart,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,5,2.5399999999999863,3,1,1,1,-7.0652201817460885,1,0,0,1,4.402,91.1,0.4235065801443387,3
9628,42,중림동,만리동2가,baseline,5.0,0.1901991313611407,2.0,50.0,7.0,14.0,5.201991313611407,203,4.006403940886705,106,42,55,0,,0,0,0,0,0.7837092731829575,32.1,0.0013157089529404564,1
9628,43,중림동,만리동2가,baseline,5.0,0.1901991313611407,2.0,50.0,7.0,14.0,5.201991313611407,181,4.344198895027621,93,22,66,0,,0,0,0,0,0.6357798165137615,21.6,0.0009306365554038963,1
