횡단보도ID,행정동,읍면동명,노인비율,baseline_PET_B_고위험,smart_PET_B_고위험,PET_B_고위험_감소율_pct,baseline_고령자미완료,smart_고령자미완료,고령자미완료_감소율_pct,baseline_차량평균지체_sec,smart_차량평균지체_sec,차량평균지체_증가_sec,baseline_최대대기행렬,smart_최대대기행렬,최대대기행렬_증가
8430,신당동,신당동,0.1998197792295562,5.666666666666667,3.3333333333333335,41.17647058823529,5.0,1.3333333333333333,73.33333333333334,5.078738749461173,5.357193257115392,0.2784545076542191,4.666666666666667,4.666666666666667,0.0
71666,장충동,장충동1가,0.1781831582826607,3.3333333333333335,3.0,10.000000000000004,1.3333333333333333,0.3333333333333333,75.0,43.40277275183458,43.31263650667075,-0.09013624516383345,8.666666666666666,8.666666666666666,0.0
8902,신당동,신당동,0.1998197792295562,5.333333333333333,5.0,6.249999999999995,2.3333333333333335,1.3333333333333333,42.85714285714287,6.307783846715123,6.562599325820442,0.25481547910531965,5.666666666666667,5.333333333333333,-0.3333333333333339
9494,신당동,신당동,0.1998197792295562,3.3333333333333335,5.333333333333333,-59.999999999999986,0.6666666666666666,1.3333333333333333,-100.0,6.506276537977694,6.389231896985372,-0.11704464099232226,0.6666666666666666,0.6666666666666666,0.0
23040,중림동,봉래동2가,0.1901991313611407,0.0,0.0,,0.0,0.0,,13.753192683116074,13.753192683116074,0.0,2.3333333333333335,2.3333333333333335,0.0
6122,회현동,남창동,0.2946596858638743,0.0,0.0,,0.0,0.0,,0.9878108383382256,0.9878108383382256,0.0,1.0,1.0,0.0
6213,회현동,남창동,0.2946596858638743,0.0,0.0,,0.0,0.0,,66.95566518891873,66.95566518891873,0.0,1.0,1.0,0.0
125895,신당동,신당동,0.1998197792295562,0.0,0.0,,0.0,0.0,,0.5955921747377085,0.5955921747377085,0.0,1.0,1.0,0.0
9628,중림동,만리동2가,0.1901991313611407,0.0,0.0,,0.0,0.0,,0.6947185854544619,0.6947185854544619,0.0,1.0,1.0,0.0
8340,장충동,장충동1가,0.1781831582826607,0.0,0.0,,0.0,0.0,,0.1752291723419696,0.1752291723419696,0.0,1.0,1.0,0.0
6511,명동,충무로2가,0.2357627618766598,0.0,0.0,,0.0,0.0,,0.7820518641201089,0.7820518641201089,0.0,1.0,1.0,0.0
6428,회현동,회현동1가,0.2946596858638743,0.0,0.0,,0.0,0.0,,0.4427670535713776,0.4427670535713776,0.0,1.0,1.0,0.0
5831,중림동,남대문로5가,0.1901991313611407,0.0,0.0,,0.0,0.0,,31.889955424361897,31.889955424361897,0.0,1.0,1.0,0.0
10383,중림동,남대문로5가,0.1901991313611407,0.0,0.0,,0.0,0.0,,10.614413117748478,10.614413117748478,0.0,0.3333333333333333,0.3333333333333333,0.0
