scenario,scenario_key,seed,cw_id,node_id,distance_from_cw1_m,vehicle_avg_wait_sec,vehicle_max_queue_veh,ped_avg_wait_sec,pet_mean_sec,pet_sample_count,elderly_pet_mean_sec,elderly_pet_sample_count,normal_pet_mean_sec,normal_pet_sample_count,severe_conflicts,medium_conflicts,elderly_severe_conflicts,normal_severe_conflicts,elderly_moderate_conflicts,normal_moderate_conflicts,elderly_incomplete_crossing,normal_incomplete_crossing,elderly_total_pedestrians,normal_total_pedestrians,total_pedestrians,elderly_risk_score,normal_risk_score,total_risk_score,spillback_count
S2,smart_single,46,CW1,N2,0.0,48.86150712830957,35,16.38562091503268,0.5363321799307958,289,1.0810810810810811,37,0.45634920634920634,252,258,8,29,229,1,7,2,9,37,252,289,1.9594594594594594,0.9087301587301587,1.0432525951557095,208
S2,smart_single,46,CW2,N3,200.0,55.07090464547677,22,25.470967741935485,4.532871972318339,289,2.6666666666666665,69,5.118181818181818,220,252,3,62,190,1,2,7,14,69,220,289,2.246376811594203,0.8636363636363636,1.193771626297578,0
S2,smart_single,46,CW3,N6,150.0,140.18125,22,14.596385542168674,0.4032258064516129,62,0.0,8,0.46296296296296297,54,58,0,8,50,0,0,1,8,21,134,155,0.9523809523809523,0.373134328358209,0.45161290322580644,0
S2,smart_single,46,CW4,N7,250.0,51.77894736842105,8,22.891129032258064,4.379310344827586,87,0.2857142857142857,14,5.164383561643835,73,66,1,13,53,0,1,2,8,36,190,226,0.9027777777777778,0.2789473684210526,0.37831858407079644,0
S2,smart_single,46,CW5,N10,300.0,307.0232558139535,4,0.03619909502262444,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,46,CW6,N11,360.56,,0,0.056105610561056105,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,46,CW7,N5,250.0,,0,29.197183098591548,,0,,0,,0,0,0,0,0,0,0,15,36,119,285,404,0.0,0.0,0.0,0
S2,smart_single,46,CW8,N8,427.2,52.03225806451613,0,0.024242424242424242,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,46,CW9,N1,200.0,50.77358490566038,0,21.81132075471698,47.4421768707483,147,47.391304347826086,23,47.45161290322581,124,10,0,2,8,0,0,2,15,59,329,388,0.0847457627118644,0.0243161094224924,0.03350515463917526,0
S2,smart_single,46,CW10,N12,500.0,,0,30.448979591836736,,0,,0,,0,0,0,0,0,0,0,2,9,36,228,264,0.0,0.0,0.0,0
S3,smart_multi,46,CW1,N2,0.0,46.564777327935225,32,18.372549019607842,0.5972222222222222,288,1.1891891891891893,37,0.5099601593625498,251,259,4,31,228,1,3,3,4,37,251,288,2.0945945945945947,0.9083665338645418,1.0607638888888888,180
S3,smart_multi,46,CW2,N3,200.0,49.24694376528117,18,20.372168284789645,8.590747330960854,281,8.617647058823529,68,8.582159624413146,213,218,2,53,165,0,2,4,7,68,213,281,1.9485294117647058,0.7746478873239436,1.0587188612099645,0
S3,smart_multi,46,CW3,N6,150.0,130.7987804878049,22,14.627218934911243,0.18333333333333332,60,0.375,8,0.15384615384615385,52,57,0,7,50,0,0,0,2,21,132,153,0.8333333333333334,0.3787878787878788,0.4411764705882353,0
S3,smart_multi,46,CW4,N7,250.0,30.0625,5,24.044354838709676,29.517241379310345,87,35.357142857142854,14,28.397260273972602,73,32,1,4,28,0,1,0,6,36,190,226,0.2777777777777778,0.14736842105263157,0.168141592920354,0
S3,smart_multi,46,CW5,N10,300.0,289.3673469387755,4,0.03167420814479638,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S3,smart_multi,46,CW6,N11,360.56,,0,0.04950495049504951,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S3,smart_multi,46,CW7,N5,250.0,,0,29.6,,0,,0,,0,0,0,0,0,0,0,14,29,119,285,404,0.0,0.0,0.0,0
S3,smart_multi,46,CW8,N8,427.2,29.24175824175824,0,0.024242424242424242,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S3,smart_multi,46,CW9,N1,200.0,58.355932203389834,0,21.56132075471698,41.102739726027394,146,38.391304347826086,23,41.609756097560975,123,15,0,1,14,0,0,2,21,59,329,388,0.0423728813559322,0.0425531914893617,0.04252577319587629,0
S3,smart_multi,46,CW10,N12,500.0,,0,31.103092783505154,,0,,0,,0,0,0,0,0,0,0,3,9,36,227,263,0.0,0.0,0.0,0
