cw_id,metric,metric_label,S1_mean,S1_sd,S1_mean_sd,S2_mean,S2_sd,S2_mean_sd,S3_mean,S3_sd,S3_mean_sd,S2_vs_S1_improvement_pct,S3_vs_S1_improvement_pct,elderly_risk_reduction_rate_pct,normal_risk_reduction_rate_pct,risk_reduction_rate_pct
CW4,pet_mean_sec,PET 평균(초),6.848915599686438,2.4790994142541005,6.85±2.48,6.886323130569546,2.0973639713183254,6.89±2.10,18.22281822051937,8.425803078014944,18.22±8.43,0.5461818055521188,166.0686637948007,,,
CW4,elderly_pet_mean_sec,고령자 PET 평균(초),6.0285714285714285,4.811921844412551,6.03±4.81,4.2142857142857135,3.0232939192954724,4.21±3.02,21.338461538461537,10.578643074077753,21.34±10.58,-30.09478672985783,253.95552314983593,,,
CW4,normal_pet_mean_sec,일반 보행자 PET 평균(초),7.009001522070015,2.0924824850452466,7.01±2.09,7.3962739726027396,1.9230479263601963,7.40±1.92,17.6262691377921,8.044221872053237,17.63±8.04,5.52535834545444,151.48045812645816,,,
CW4,severe_conflicts,심각 상충 건수,63.8,2.3874672772626644,63.80±2.39,65.0,2.9154759474226504,65.00±2.92,48.8,12.00833044182246,48.80±12.01,-1.8808777429467132,23.510971786833856,,,
CW4,medium_conflicts,중간 상충 건수,1.0,1.0,1.00±1.00,1.4,1.51657508881031,1.40±1.52,1.0,0.7071067811865476,1.00±0.71,-39.99999999999999,0.0,,,
CW4,elderly_severe_conflicts,고령자 심각 상충 건수,10.8,1.7888543819998317,10.80±1.79,11.6,1.1401754250991378,11.60±1.14,6.8,2.16794833886788,6.80±2.17,-7.407407407407398,37.03703703703704,,,
CW4,normal_severe_conflicts,일반 보행자 심각 상충 건수,53.0,1.7320508075688772,53.00±1.73,53.4,2.0736441353327724,53.40±2.07,42.0,10.074720839804943,42.00±10.07,-0.7547169811320728,20.754716981132077,,,
CW4,elderly_incomplete_crossing,고령자 신호 내 횡단 미완료,1.8,1.3038404810405297,1.80±1.30,1.8,0.44721359549995804,1.80±0.45,1.6,1.5165750888103102,1.60±1.52,0.0,11.111111111111107,,,
CW4,normal_incomplete_crossing,일반 보행자 신호 내 횡단 미완료,11.8,4.147288270665544,11.80±4.15,10.6,3.7815340802378072,10.60±3.78,11.6,5.319774431308154,11.60±5.32,10.169491525423737,1.6949152542372972,,,
CW4,elderly_risk_score,고령자 가중 위험도(1인당),0.7499999999999999,0.1242259987499883,0.75±0.12,0.8055555555555556,0.07917884896521794,0.81±0.08,0.4722222222222222,0.1505519679769361,0.47±0.15,-7.407407407407426,37.03703703703703,-7.407407407407426,,
CW4,normal_risk_score,일반 보행자 위험도(1인당),0.27925678069519344,0.009620874514217467,0.28±0.01,0.281328743615875,0.010206736889663169,0.28±0.01,0.22182121971595653,0.05351810829003075,0.22±0.05,-0.7419561722095123,20.56729324038415,,-0.7419561722095123,
CW4,total_risk_score,통합 위험도(1인당),0.35428007571721265,0.020292310143622785,0.35±0.02,0.3648859347047332,0.01871130023743266,0.36±0.02,0.261811209439528,0.06689665228688402,0.26±0.07,-2.993636875020361,26.100498621179458,,,-2.993636875020361
CW4,spillback_count,spillback 발생 횟수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW5,vehicle_avg_wait_sec,차량 평균 대기시간(초/대),298.86812784455594,24.580837534215693,298.87±24.58,267.22286997885834,35.04078252075862,267.22±35.04,279.6339470570837,23.423852749097282,279.63±23.42,10.588368219095143,6.4356747995143,,,
