scenario,scenario_key,seed,time,tls,cw_id,count
S3,smart_multi,45,1215.0,N3,CW2,2
S3,smart_multi,45,1282.0,N2,CW1,1
S3,smart_multi,45,1283.0,N2,CW1,2
S3,smart_multi,45,1332.0,N6,CW3,1
S3,smart_multi,45,1403.0,N3,CW2,1
S3,smart_multi,45,1412.0,N3,CW2,2
S3,smart_multi,45,1431.0,N6,CW3,1
S3,smart_multi,45,1433.0,N6,CW3,2
S3,smart_multi,45,1487.0,N2,CW1,1
S3,smart_multi,45,1499.0,N2,CW1,2
S3,smart_multi,45,1535.0,N6,CW3,1
S3,smart_multi,45,1536.0,N6,CW3,2
S3,smart_multi,45,1609.0,N3,CW2,1
S3,smart_multi,45,1610.0,N3,CW2,2
S3,smart_multi,45,1639.0,N6,CW3,1
S3,smart_multi,45,1640.0,N6,CW3,2
S3,smart_multi,45,1708.0,N3,CW2,1
S3,smart_multi,45,1719.0,N3,CW2,2
S3,smart_multi,45,1813.0,N3,CW2,1
S3,smart_multi,45,1828.0,N3,CW2,2
S3,smart_multi,45,1909.0,N2,CW1,1
S3,smart_multi,45,1910.0,N2,CW1,2
S3,smart_multi,45,1927.0,N3,CW2,1
S3,smart_multi,45,1928.0,N3,CW2,2
S3,smart_multi,45,2012.0,N2,CW1,1
S3,smart_multi,45,2023.0,N3,CW2,1
S3,smart_multi,45,2028.0,N3,CW2,2
S3,smart_multi,45,2100.0,N6,CW3,1
S3,smart_multi,45,2101.0,N6,CW3,2
S3,smart_multi,45,2128.0,N3,CW2,1
S3,smart_multi,45,2196.0,N6,CW3,1
S3,smart_multi,45,2201.0,N6,CW3,2
S3,smart_multi,45,2228.0,N3,CW2,1
S3,smart_multi,45,2241.0,N3,CW2,2
S3,smart_multi,45,2339.0,N3,CW2,1
S3,smart_multi,45,2340.0,N3,CW2,2
S3,smart_multi,45,2394.0,N6,CW3,1
S3,smart_multi,45,2395.0,N6,CW3,2
S3,smart_multi,45,2438.0,N3,CW2,1
S3,smart_multi,45,2443.0,N3,CW2,2
S3,smart_multi,45,2492.0,N6,CW3,1
S3,smart_multi,45,2494.0,N6,CW3,2
S3,smart_multi,45,2524.0,N2,CW1,1
S3,smart_multi,45,2527.0,N2,CW1,2
S3,smart_multi,45,2545.0,N3,CW2,1
S3,smart_multi,45,2548.0,N3,CW2,2
S3,smart_multi,45,2639.0,N2,CW1,1
S3,smart_multi,45,2640.0,N2,CW1,2
S3,smart_multi,45,2656.0,N3,CW2,1
S3,smart_multi,45,2657.0,N3,CW2,2
S3,smart_multi,45,2681.0,N6,CW3,1
S3,smart_multi,45,2687.0,N6,CW3,2
S3,smart_multi,45,2747.0,N2,CW1,1
S3,smart_multi,45,2749.0,N2,CW1,2
S3,smart_multi,45,2753.0,N3,CW2,1
S3,smart_multi,45,2782.0,N6,CW3,1
S3,smart_multi,45,2854.0,N3,CW2,1
S3,smart_multi,45,2858.0,N3,CW2,2
S3,smart_multi,45,2862.0,N2,CW1,1
S3,smart_multi,45,2863.0,N2,CW1,2
S3,smart_multi,45,2884.0,N6,CW3,1
S3,smart_multi,45,2885.0,N6,CW3,2
S3,smart_multi,45,3055.0,N3,CW2,1
S3,smart_multi,45,3058.0,N3,CW2,2
