scenario,scenario_key,seed,time,tls,cw_id,count
S3,smart_multi,42,2805.0,N2,CW1,2
S3,smart_multi,42,2833.0,N3,CW2,1
S3,smart_multi,42,2838.0,N3,CW2,2
S3,smart_multi,42,2883.0,N6,CW3,1
S3,smart_multi,42,2905.0,N2,CW1,1
S3,smart_multi,42,2910.0,N2,CW1,2
S3,smart_multi,42,2938.0,N3,CW2,1
S3,smart_multi,42,2952.0,N3,CW2,2
S3,smart_multi,42,2981.0,N6,CW3,1
S3,smart_multi,42,2984.0,N6,CW3,2
S3,smart_multi,42,3016.0,N2,CW1,1
S3,smart_multi,42,3024.0,N2,CW1,2
S3,smart_multi,42,3084.0,N6,CW3,1
S3,smart_multi,42,3085.0,N6,CW3,2
S3,smart_multi,42,3145.0,N3,CW2,1
S3,smart_multi,42,3146.0,N3,CW2,2
S3,smart_multi,42,3233.0,N2,CW1,1
S3,smart_multi,42,3234.0,N2,CW1,2
S3,smart_multi,42,3243.0,N3,CW2,1
