횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율
9494,127.02194057271991,37.56537909712678,신당동,,,,7,,신당동,0.1998197792295562
8430,127.01065986201122,37.55524536754036,신당동,2.0,104.0,50.0,5,26875.559786532827,신당동,0.1998197792295562
71666,127.00612715243489,37.5616890539837,장충동1가,3.0,104.0,50.0,5,26875.559786532827,장충동,0.1781831582826607
